Timestamp,Latitude,Longitude,Speed,Altitude,SoC,Accuracy,Wind_direction,Wind_speed,Weather
0.0,53.382828,-6.258002,0.264798,46.29473,87,5.172926,WE,4,Dry
38.0,53.382911,-6.258132,11.718903,46.923732,88,8.895963,WE,4,Dry
40.0,53.382942,-6.258279,12.532068,46.694794,88,9.951529,WE,4,Dry
44.0,53.383027,-6.258391,10.254891,46.300407,88,8.456566,WE,4,Dry
50.0,53.383117,-6.258432,8.022461,46.121265,88,10.735711,WE,4,Dry
54.0,53.383212,-6.258524,11.331632,46.788013,87,12.653679,WE,4,Dry
56.0,53.383302,-6.258648,16.239739,46.973923,87,13.675067,WE,4,Dry
58.0,53.383396,-6.258784,19.694453,47.19154,87,14.382179,WE,4,Dry
60.0,53.383454,-6.258922,20.787278,47.462405,87,14.779036,WE,4,Dry
62.0,53.383567,-6.25891,17.403003,47.255917,87,11.790791,WE,4,Dry
64.0,53.383652,-6.258842,15.139656,47.580101,87,10.546591,WE,4,Dry
68.0,53.383723,-6.258746,9.363406,47.708119,87,9.95384,WE,4,Dry
72.0,53.383807,-6.258674,11.586225,48.086251,87,7.732594,WE,4,Dry
74.0,53.383892,-6.258595,14.427292,48.744954,87,7.711145,WE,4,Dry
76.0,53.383994,-6.258513,17.235901,48.444169,87,7.694201,WE,4,Dry
79.0,53.38411,-6.258538,14.302033,48.896335,87,7.59177,WE,4,Dry
84.0,53.384218,-6.258564,10.09366,49.37844,87,7.691751,WE,4,Dry
94.0,53.384107,-6.258643,14.93125,49.884255,87,8.813646,WE,4,Dry
96.0,53.384015,-6.258675,16.515776,48.599798,87,9.348878,WE,4,Dry
100.0,53.383909,-6.258726,13.746508,48.159025,87,9.836226,WE,4,Dry
102.0,53.38382,-6.258827,16.425097,48.262708,87,9.897232,WE,4,Dry
106.0,53.383713,-6.258822,12.976782,47.76833,86,8.628648,WE,4,Dry
110.0,53.383582,-6.258849,13.624272,47.721173,86,7.521294,WE,4,Dry
113.0,53.383459,-6.258883,14.386051,47.117003,86,6.882674,WE,4,Dry
116.0,53.383356,-6.25876,17.386771,46.514104,86,7.063191,WE,4,Dry
118.0,53.383257,-6.258635,21.038488,46.639276,86,7.239983,WE,4,Dry
120.0,53.383137,-6.258514,24.268466,47.084679,86,7.161594,WE,4,Dry
122.0,53.383047,-6.258377,23.536742,46.206417,86,6.786608,WE,4,Dry
125.0,53.382943,-6.258244,17.660201,45.659136,86,7.077749,WE,4,Dry
127.0,53.382875,-6.258142,16.962026,45.702499,86,8.063452,WE,4,Dry
129.0,53.382824,-6.258015,17.354551,46.472894,86,7.680583,WE,4,Dry
131.0,53.382814,-6.257863,15.846027,46.454257,86,7.294969,WE,4,Dry
134.0,53.38288,-6.257755,12.261237,46.135161,86,5.923838,WE,4,Dry
139.0,53.382956,-6.257619,9.544825,46.269332,86,6.049542,WE,4,Dry
144.0,53.383023,-6.25751,5.900186,46.615898,86,6.544959,WE,4,Dry
148.0,53.383078,-6.257358,8.740671,46.538614,86,6.390003,WE,4,Dry
151.0,53.38316,-6.257223,14.080276,47.236735,86,6.417774,WE,4,Dry
154.0,53.383219,-6.257075,14.33298,47.133137,86,7.995948,WE,4,Dry
157.0,53.383283,-6.256881,16.915556,46.843336,85,8.913145,WE,4,Dry
158.0,53.383351,-6.256768,18.07235,46.94825,85,9.155508,WE,4,Dry
160.0,53.383412,-6.256595,20.583913,47.055155,85,9.385151,WE,4,Dry
162.0,53.383474,-6.256381,23.622964,47.720864,85,9.423152,WE,4,Dry
164.0,53.383541,-6.256216,22.923215,47.992874,85,9.569054,WE,4,Dry
166.0,53.383573,-6.256036,22.148027,47.786722,85,9.604266,WE,4,Dry
168.0,53.383647,-6.255889,21.190652,47.978522,85,7.740637,WE,4,Dry
170.0,53.383693,-6.255741,19.016593,47.357102,85,7.413787,WE,4,Dry
173.0,53.383757,-6.255536,16.330343,47.610648,85,7.101774,WE,4,Dry
175.0,53.383791,-6.255395,16.867155,47.991445,85,7.038168,WE,4,Dry
177.0,53.38385,-6.25526,19.656261,48.259528,85,6.629705,WE,4,Dry
179.0,53.383902,-6.255125,18.494827,48.110376,85,6.55121,WE,4,Dry
183.0,53.383872,-6.254914,12.753576,48.272747,85,5.927858,WE,4,Dry
186.0,53.38381,-6.254741,14.959966,48.60714,85,5.301883,WE,4,Dry
189.0,53.383754,-6.254545,17.30387,48.609117,85,5.173768,WE,4,Dry
191.0,53.383699,-6.254408,16.317293,48.87068,85,5.185064,WE,4,Dry
194.0,53.383632,-6.254278,12.481627,48.497718,85,5.126505,WE,4,Dry
198.0,53.383585,-6.254125,9.72424,48.786375,85,5.070592,WE,4,Dry
202.0,53.383521,-6.253992,9.745356,48.621248,84,5.010516,WE,4,Dry
207.0,53.383465,-6.25384,7.434175,48.256506,84,5.008079,WE,4,Dry
212.0,53.383457,-6.253661,9.692279,48.768339,84,4.962805,WE,4,Dry
214.0,53.383534,-6.253554,16.80903,48.824293,84,4.939853,WE,4,Dry
216.0,53.383627,-6.253476,19.652432,48.853929,84,4.919641,WE,4,Dry
218.0,53.383729,-6.253383,22.248052,48.53484,84,4.875735,WE,4,Dry
220.0,53.383845,-6.253301,23.401414,48.786501,84,4.865567,WE,4,Dry
222.0,53.383971,-6.253286,23.593889,48.179415,84,4.853747,WE,4,Dry
