Timestamp,Latitude,Longitude,Speed,Altitude,SoC,Wind_direction,Wind_speed,Weather
0.0,53.385229,-6.253653,0.623901,50.593099,68,SSE,5.6,Wet
7.0,53.385214,-6.253805,0.263926,50.472464,68,SSE,5.6,Wet
46.0,53.385123,-6.253802,6.020735,51.043042,68,SSE,5.6,Wet
52.0,53.385047,-6.25369,3.252857,49.745856,68,SSE,5.6,Wet
54.0,53.385003,-6.253513,16.377926,49.737948,6,SSE,5.6,Wet
56.0,53.384936,-6.253365,20.300035,49.219015,6,SSE,5.6,Wet
58.0,53.384877,-6.253233,19.217567,49.416868,6,SSE,5.6,Wet
60.0,53.384796,-6.253119,17.329168,48.879689,6,SSE,5.6,Wet
63.0,53.38472,-6.25302,11.179229,48.36075,6,SSE,5.6,Wet
65.0,53.384631,-6.253098,14.452707,48.242192,6,SSE,5.6,Wet
67.0,53.384512,-6.253216,22.942951,47.801177,6,SSE,5.6,Wet
69.0,53.384384,-6.253293,23.638397,48.630863,6,SSE,5.6,Wet
71.0,53.384282,-6.253322,19.354757,48.643541,6,SSE,5.6,Wet
73.0,53.384168,-6.253325,20.762326,48.719005,6,SSE,5.6,Wet
75.0,53.384062,-6.253309,19.536711,49.217671,6,SSE,5.6,Wet
77.0,53.383964,-6.253294,19.658341,48.89418,6,SSE,5.6,Wet
80.0,53.383838,-6.253271,17.3226,48.986256,66,SSE,5.6,Wet
83.0,53.383706,-6.253329,18.180549,48.535855,66,SSE,5.6,Wet
86.0,53.383579,-6.253441,19.793789,49.002735,66,SSE,5.6,Wet
88.0,53.383503,-6.253533,19.807876,48.591791,66,SSE,5.6,Wet
91.0,53.383433,-6.253681,13.702245,48.525756,66,SSE,5.6,Wet
94.0,53.383465,-6.2539,18.188622,47.873271,66,SSE,5.6,Wet
96.0,53.383532,-6.254041,20.586486,47.924593,65,SSE,5.6,Wet
98.0,53.383594,-6.254178,20.135944,48.076853,65,SSE,5.6,Wet
100.0,53.383652,-6.254331,21.608477,47.948812,65,SSE,5.6,Wet
102.0,53.38371,-6.254484,21.83658,48.413531,65,SSE,5.6,Wet
104.0,53.383766,-6.254622,21.076509,48.180553,65,SSE,5.6,Wet
106.0,53.383833,-6.254765,21.323036,47.954473,65,SSE,5.6,Wet
108.0,53.383883,-6.254904,18.265069,48.043877,65,SSE,5.6,Wet
111.0,53.383888,-6.255104,15.639514,48.211704,65,SSE,5.6,Wet
114.0,53.38381,-6.255285,18.345611,48.362909,65,SSE,5.6,Wet
116.0,53.383764,-6.255438,19.973549,47.985905,64,SSE,5.6,Wet
118.0,53.383709,-6.255566,19.542048,47.940586,64,SSE,5.6,Wet
120.0,53.383669,-6.255731,20.322244,48.162118,64,SSE,5.6,Wet
122.0,53.383613,-6.255886,21.170598,47.767929,64,SSE,5.6,Wet
124.0,53.383553,-6.256038,21.12192,47.556745,64,SSE,5.6,Wet
126.0,53.38349,-6.256176,19.780771,47.505342,64,SSE,5.6,Wet
129.0,53.383413,-6.256362,18.814555,46.969998,64,SSE,5.6,Wet
131.0,53.383369,-6.256522,20.656231,47.017634,64,SSE,5.6,Wet
133.0,53.383319,-6.25668,21.23622,47.0489,63,SSE,5.6,Wet
135.0,53.383242,-6.256803,20.981788,46.982863,63,SSE,5.6,Wet
137.0,53.383174,-6.256938,21.03503,46.355464,63,SSE,5.6,Wet
139.0,53.38311,-6.257074,20.692144,46.44422,63,SSE,5.6,Wet
141.0,53.383042,-6.257199,20.255285,46.788433,63,SSE,5.6,Wet
143.0,53.382963,-6.257316,21.006204,46.435173,62,SSE,5.6,Wet
145.0,53.382897,-6.257458,21.235399,46.190493,62,SSE,5.6,Wet
147.0,53.382827,-6.257587,20.834846,46.173619,62,SSE,5.6,Wet
149.0,53.382765,-6.257713,18.793151,45.860561,62,SSE,5.6,Wet
151.0,53.382758,-6.257871,15.00973,45.329662,62,SSE,5.6,Wet
154.0,53.382806,-6.258022,9.889825,45.516855,62,SSE,5.6,Wet
156.0,53.38291,-6.258165,17.582337,45.407666,61,SSE,5.6,Wet
159.0,53.38296,-6.25831,14.434856,46.411319,61,SSE,5.6,Wet
163.0,53.38308,-6.258433,11.064308,47.123517,61,SSE,5.6,Wet
165.0,53.383159,-6.258552,14.100235,47.25655,61,SSE,5.6,Wet
