Timestamp,Latitude,Longitude,Speed,Altitude,SoC,Wind_speed,Wind_direction,Weather
269.0,53.385965,-6.258356,11.90078,54.83915,74,4.6,SE,Wet
271.0,53.385898,-6.258195,19.663582,54.837002,74,4.6,SE,Wet
273.0,53.385972,-6.258088,15.646239,55.597479,74,4.6,SE,Wet
275.0,53.38601,-6.257908,18.452143,55.109702,74,4.6,SE,Wet
278.0,53.385973,-6.257711,19.325435,54.462184,74,4.6,SE,Wet
280.0,53.385926,-6.257537,22.997691,53.778944,74,4.6,SE,Wet
283.0,53.385852,-6.257387,15.165,53.701476,74,4.6,SE,Wet
286.0,53.385794,-6.257211,15.174596,53.444656,74,4.6,SE,Wet
289.0,53.385752,-6.257021,14.576004,53.566336,74,4.6,SE,Wet
293.0,53.385702,-6.256881,11.072951,53.017687,74,4.6,SE,Wet
311.0,53.385617,-6.256933,3.753888,50.403837,72,4.6,SE,Wet
316.0,53.385663,-6.2571,10.292059,52.564087,72,4.6,SE,Wet
320.0,53.385709,-6.257231,11.125186,52.366737,72,4.6,SE,Wet
322.0,53.385771,-6.25735,17.238173,52.596787,72,4.6,SE,Wet
324.0,53.385816,-6.257481,17.326658,52.162394,72,4.6,SE,Wet
327.0,53.385864,-6.257646,15.949751,52.164367,72,4.6,SE,Wet
330.0,53.385933,-6.257784,14.708172,52.121516,72,4.6,SE,Wet
333.0,53.385994,-6.257941,13.511211,51.890838,72,4.6,SE,Wet
337.0,53.386083,-6.258006,6.398312,52.659322,71,4.6,SE,Wet
341.0,53.386152,-6.257868,11.554817,52.361177,71,4.6,SE,Wet
342.0,53.386112,-6.257721,15.628498,52.337975,71,4.6,SE,Wet
344.0,53.386054,-6.25757,19.982015,52.143755,71,4.6,SE,Wet
346.0,53.385992,-6.257433,19.915173,52.244084,71,4.6,SE,Wet
349.0,53.385901,-6.257271,19.234719,52.098233,71,4.6,SE,Wet
351.0,53.385849,-6.257124,18.271674,52.058695,71,4.6,SE,Wet
354.0,53.385787,-6.256936,16.274547,51.659353,71,4.6,SE,Wet
357.0,53.385742,-6.256769,11.687147,51.083369,71,4.6,SE,Wet
361.0,53.385846,-6.256667,15.362455,50.773335,71,4.6,SE,Wet
366.0,53.3859,-6.25652,6.484054,50.584143,71,4.6,SE,Wet
370.0,53.385993,-6.256458,7.912161,50.460817,70,4.6,SE,Wet
373.0,53.386095,-6.256474,5.537873,51.053453,70,4.6,SE,Wet
