Timestamp,Latitude,Longitude,Speed,Altitude,SoC,Wind_direction,Wind_speed,Weather
549.0,53.385273,-6.253884,1.146957,50.438276,66,W,7.31,Dry
554.0,53.385352,-6.253975,1.98266,50.401955,66,W,7.31,Dry
559.0,53.385414,-6.254092,1.764281,50.304708,66,W,7.31,Dry
565.0,53.385484,-6.254194,1.393506,50.303204,66,W,7.31,Dry
572.0,53.385465,-6.254363,1.083539,50.152995,66,W,7.31,Dry
577.0,53.385469,-6.254533,1.485912,50.166009,66,W,7.31,Dry
581.0,53.38551,-6.254696,1.401364,49.948386,66,W,7.31,Dry
586.0,53.385533,-6.254845,1.056814,50.015001,66,W,7.31,Dry
592.0,53.385493,-6.254983,1.539224,50.003201,66,W,7.31,Dry
605.0,53.385428,-6.25515,0.0,49.75687,66,W,7.31,Dry
