Timestamp,Latitude,Longitude,Speed,Altitude,SoC,Wind_direction,Wind_speed,Weather
0.0,53.384478,-6.253919,-3.6,48.21925,94,W,6.39,Dry
9.0,53.384354,-6.253737,0.0,44.55154,94,W,6.39,Dry
19.0,53.384325,-6.253565,5.976,42.576565,94,W,6.39,Dry
21.0,53.384275,-6.253402,17.316,42.567595,94,W,6.39,Dry
24.0,53.38421,-6.253273,13.212,43.022611,94,W,6.39,Dry
28.0,53.384225,-6.253117,10.116,43.59042,94,W,6.39,Dry
31.0,53.384404,-6.253121,21.96,43.479156,94,W,6.39,Dry
33.0,53.384497,-6.253083,21.06,43.40042,94,W,6.39,Dry
35.0,53.384623,-6.253042,19.916483,48.055913,94,W,6.39,Dry
38.0,53.384739,-6.252995,14.97424,47.594554,94,W,6.39,Dry
40.0,53.384824,-6.253073,15.173461,47.587261,94,W,6.39,Dry
42.0,53.384879,-6.2532,15.702194,47.550819,94,W,6.39,Dry
43.0,53.384912,-6.253378,16.674641,49.183434,94,W,6.39,Dry
45.0,53.384947,-6.253534,16.743697,50.36209,93,W,6.39,Dry
48.0,53.385001,-6.253721,15.741212,51.314675,93,W,6.39,Dry
51.0,53.385122,-6.253814,13.521255,52.222018,93,W,6.39,Dry
55.0,53.385241,-6.253809,11.590485,50.298145,93,W,6.39,Dry
59.0,53.385318,-6.25397,13.882775,50.014145,93,W,6.39,Dry
62.0,53.385383,-6.254148,15.096525,50.75994,93,W,6.39,Dry
65.0,53.385438,-6.25432,15.994183,50.254908,93,W,6.39,Dry
69.0,53.385425,-6.254469,9.688067,48.078659,93,W,6.39,Dry
72.0,53.385454,-6.254683,17.543357,49.139469,93,W,6.39,Dry
76.0,53.385456,-6.254869,12.083631,48.508844,93,W,6.39,Dry
79.0,53.385498,-6.255028,14.298775,49.003221,93,W,6.39,Dry
82.0,53.385557,-6.25518,13.258815,49.565688,93,W,6.39,Dry
85.0,53.385602,-6.255321,11.804064,49.286498,93,W,6.39,Dry
88.0,53.385654,-6.255467,11.762934,49.683311,93,W,6.39,Dry
91.0,53.385701,-6.255606,10.259703,50.434008,93,W,6.39,Dry
95.0,53.385783,-6.255736,9.114542,51.817229,93,W,6.39,Dry
98.0,53.385827,-6.255875,13.706232,51.451595,93,W,6.39,Dry
101.0,53.385873,-6.256018,12.637015,51.760651,93,W,6.39,Dry
106.0,53.385942,-6.256175,9.610021,51.590811,93,W,6.39,Dry
109.0,53.386009,-6.256327,12.338245,52.547938,93,W,6.39,Dry
112.0,53.38597,-6.256467,10.683642,50.780619,92,W,6.39,Dry
115.0,53.385861,-6.256542,14.420883,50.506835,92,W,6.39,Dry
119.0,53.385798,-6.256655,8.113716,49.56732,92,W,6.39,Dry
122.0,53.385795,-6.256822,12.8581,49.869142,92,W,6.39,Dry
125.0,53.385843,-6.256963,12.261342,49.721092,92,W,6.39,Dry
128.0,53.385907,-6.257127,15.097912,50.391501,92,W,6.39,Dry
130.0,53.385955,-6.257274,18.316371,49.930189,92,W,6.39,Dry
134.0,53.386018,-6.257426,13.29518,51.066929,92,W,6.39,Dry
138.0,53.386088,-6.257583,13.09034,50.164382,92,W,6.39,Dry
141.0,53.386111,-6.257748,12.684596,49.973404,92,W,6.39,Dry
144.0,53.386092,-6.257937,14.261711,50.787605,92,W,6.39,Dry
147.0,53.386097,-6.258116,11.300295,50.245229,92,W,6.39,Dry
150.0,53.386101,-6.258272,12.191557,50.349836,92,W,6.39,Dry
154.0,53.386056,-6.258423,6.541103,49.068605,92,W,6.39,Dry
157.0,53.385976,-6.258575,15.389315,50.119452,92,W,6.39,Dry
160.0,53.385906,-6.258711,14.637686,50.903899,92,W,6.39,Dry
163.0,53.385829,-6.258838,13.112591,50.828741,92,W,6.39,Dry
166.0,53.385747,-6.258919,12.167467,50.467107,92,W,6.39,Dry
168.0,53.38567,-6.25903,13.736479,51.427009,92,W,6.39,Dry
171.0,53.385611,-6.259183,14.315674,52.365188,92,W,6.39,Dry
174.0,53.385565,-6.259313,13.107094,52.529586,92,W,6.39,Dry
177.0,53.385554,-6.259494,14.116137,53.592246,92,W,6.39,Dry
180.0,53.385557,-6.25967,15.010322,53.670991,92,W,6.39,Dry
183.0,53.385585,-6.259835,13.25725,53.530867,92,W,6.39,Dry
186.0,53.385632,-6.259983,12.00499,54.444322,92,W,6.39,Dry
189.0,53.385738,-6.260051,12.930673,55.513593,92,W,6.39,Dry
192.0,53.385844,-6.260048,12.636596,53.999361,91,W,6.39,Dry
195.0,53.38594,-6.260141,12.971082,52.644118,91,W,6.39,Dry
