trip_id,height_range (cm),weight_range (kg),starting_point,destination_point,duration(s),distance (km),starting_soc,ending_soc,soc/distance,wh/km,average_speed (m/s),average_speed (km/h),start_altitude (m),end_altitude (m),wind_speed (m/s),wind_direction,weather,altitude_difference (m),slope
30.0,180-190,90-100,"53.385133, -6.253751","53.385321, -6.253692",577.0,1.9,32.0,23.0,4.73,21.1,3.29,11.84,50.211405,51.849552,7.31,W,Dry,1.638147,0.00086218295203469
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,battery capacity: 446wh,,,,,,,,,,,,,,,,,,
,https://www.mi.com/uk/mi-electric-scooter-Pro2/,,,,,,,,,,,,,,,,,,
,total: 30,,,,,,,,,,,,,,,,,,
